geliþ_zamaný,týr_plakasý,ülke,20_ton_adet,30_ton_adet,yük_miktarý,maliyet
2,41_kostu_046,Oceania,0,1,30,30000
6,41_kostu_616,Neverland,1,0,20,20000
6,41_kostu_616,Neverland,1,0,20,20000
6,41_kostu_998,Neverland,1,0,20,20000
6,41_kostu_751,Lilliputa,0,1,30,30000
6,41_kostu_579,Mordor,0,1,30,30000
7,41_kostu_978,Lilliputa,0,1,30,30000
7,41_kostu_487,Lilliputa,1,0,20,20000
7,41_kostu_039,Lilliputa,0,1,30,30000
7,41_kostu_201,Mordor,0,1,30,30000
8,41_kostu_338,Mordor,1,0,20,20000
8,41_kostu_923,Lilliputa,1,0,20,20000
8,41_kostu_053,Mordor,1,0,20,20000
8,41_kostu_748,Mordor,1,0,20,20000
8,41_kostu_983,Lilliputa,1,0,20,20000
8,41_kostu_286,Oceania,0,1,30,30000
8,41_kostu_540,Lilliputa,1,0,20,20000
13,41_kostu_015,Neverland,0,1,30,30000
13,41_kostu_622,Oceania,1,0,20,20000
13,41_kostu_087,Oceania,1,0,20,20000
13,41_kostu_022,Oceania,0,1,30,30000
13,41_kostu_241,Mordor,1,0,20,20000
13,41_kostu_420,Lilliputa,0,1,30,30000
15,41_kostu_637,Lilliputa,1,0,20,20000
15,41_kostu_982,Mordor,1,0,20,20000
15,41_kostu_911,Mordor,1,0,20,20000
15,41_kostu_615,Neverland,1,0,20,20000
15,41_kostu_185,Lilliputa,0,1,30,30000
15,41_kostu_871,Mordor,0,1,30,30000
15,41_kostu_247,Mordor,1,0,20,20000
19,41_kostu_167,Lilliputa,0,1,30,30000
19,41_kostu_033,Neverland,0,1,30,30000
19,41_kostu_437,Mordor,1,0,20,20000
22,41_kostu_755,Lilliputa,0,1,30,30000
22,41_kostu_623,Mordor,1,0,20,20000
22,41_kostu_261,Neverland,1,0,20,20000
22,41_kostu_700,Oceania,0,1,30,30000
22,41_kostu_001,Neverland,1,0,20,20000
22,41_kostu_467,Oceania,1,0,20,20000
24,41_kostu_881,Mordor,1,0,20,20000
24,41_kostu_767,Mordor,0,1,30,30000
24,41_kostu_259,Mordor,0,1,30,30000
24,41_kostu_090,Mordor,1,0,20,20000
24,41_kostu_700,Mordor,0,1,30,30000
24,41_kostu_134,Oceania,0,1,30,30000
24,41_kostu_379,Oceania,1,0,20,20000
25,41_kostu_144,Oceania,0,1,30,30000
25,41_kostu_649,Oceania,1,0,20,20000
25,41_kostu_177,Mordor,0,1,30,30000
25,41_kostu_896,Neverland,0,1,30,30000
27,41_kostu_568,Neverland,0,1,30,30000
27,41_kostu_225,Neverland,0,1,30,30000
27,41_kostu_110,Oceania,1,0,20,20000
27,41_kostu_854,Mordor,1,0,20,20000
27,41_kostu_966,Mordor,1,0,20,20000
31,41_kostu_550,Neverland,0,1,30,30000
32,41_kostu_012,Neverland,0,1,30,30000
32,41_kostu_253,Oceania,0,1,30,30000
32,41_kostu_561,Oceania,0,1,30,30000
32,41_kostu_757,Oceania,1,0,20,20000
33,41_kostu_401,Lilliputa,1,0,20,20000
33,41_kostu_224,Lilliputa,1,0,20,20000
34,41_kostu_305,Oceania,0,1,30,30000
35,41_kostu_468,Neverland,1,0,20,20000
35,41_kostu_401,Lilliputa,0,1,30,30000
35,41_kostu_734,Neverland,0,1,30,30000
35,41_kostu_411,Lilliputa,1,0,20,20000
